moves_used,move_limit
114318,34976480
155504,34989080
1971438,34998705
3563330,34973715
108821,34979805
919913,34999020
780440,34994540
131311,34998740
1024764,34997410
93164,34990550
1244955,34987680
355751,34986000
1231277,34997375
907589,34994575
239044,34988975
816982,34999090
217239,34986735
1619913,34994540
338162,34994575
1108492,34988800
1176531,34996500
1010719,34985475
463998,34992300
894870,34991110
829058,34993280
622027,34998600
569829,34998775
414102,34997900
1212655,34993630
775127,34988310
1527557,34998950
1181404,34998600
36587,34997760
1493315,34998390
1493982,34990900
4271479,34979000
1029403,34994960
1486259,34997025
531525,34999965
513605,34997200
315882,34997760
856117,34996535
1253230,34995345
4015583,34992720
1222099,34981100
555048,34993350
98486,34992720
641074,34996920
115904,34999090
183888,34982220
5177,34985860
1922107,34987050
209257,34995660
2681025,34997620
1653618,34984040
150195,34989080
1561263,35000000
2086711,34999965
1675175,34991880
1696482,34984215
1405623,34993350
71519,34989570
814640,34998810
547820,34975710
225351,34996080
970564,34999720
1706539,34998950
213747,35000000
1873741,35000000
42036,34999965
83694,34998950
496005,34986000
3715882,34997760
3452781,34990690
792911,34983900
244372,34996290
1946630,34993490
1180633,34998740
190777,34986735
3055491,34996500
2851644,34997620
493515,34991250
924625,34997900
1713264,34993630
682529,34986000
606413,34983970
739491,34980855
2817330,34987680
446233,34999860
830880,34996500
977226,34998705
885330,34996500
1629727,34994960
2464589,34989150
1715022,34993840
285735,34997200
89422,34984320
899543,34996780
1577822,34975675
2700244,34985475
2138814,34985860
410637,34993140
596068,34998390
426081,34999230
734882,34995975
511178,34970390
50671,34986700
1638909,34994960
1438342,34989500
2737016,34996920
357479,34987680
42263,34986140
345836,34975675
3471438,34984320
40566,34995695
1092631,34986980
146672,34998600
328366,34997900
807980,34995520
19641,34973190
1382052,34987680
1303028,34993280
2018829,34972315
360679,34993280
790409,34982325
310721,34999860
1607305,34996780
796682,34997760
261870,34994365
903660,34986245
87080,34998250
836561,34999020
619158,34999440
2125211,34992160
81075,34997620
1377453,34997270
171458,34981100
2408734,34999860
752597,34995555
2255461,34996920
721437,34999860
249380,34993140
516167,35000000
787477,34985475
231910,34997760
2554396,34983060
341587,34992720
433063,34987785
779830,34998950
3557811,34992160
610786,34987050
3395868,34996500
292524,34985475
52541,34988975
931180,34996675
226287,34994260
1378792,34996500
1277411,34972700
200924,34987050
595190,34988660
2426327,35000000
2098280,34999930
1925586,34994960
1347679,34998040
723228,34999230
761958,34995660
2174533,34999790
538545,34996080
2774835,34991250
1132494,34972560
894022,34998075
92271,34999965
3253747,34990060
554277,34998285
1229703,34979035
38248,34990900
479095,34994365
705487,34993280
822066,34985790
939269,34992650
35708,34994960
289840,34974030
385763,34994575
211706,34983025
833080,34991250
527811,34980890
468143,34982080
4173257,34986000
253364,34991040
913853,34976200
91531,34978300
959562,34996780
630044,34998950
2441157,34999230
393878,34987050
495147,34992895
2700772,34993350
2136988,34998040
188076,34995520
668572,34990515
1127085,34997900
534261,34988310
215739,34990550
3375905,35000000
1473066,34997900
304733,34994470
1249956,34980330
493896,34983550
483683,34997655
112914,34993420
765265,34986000
1431684,34989255
1747655,34999650
72956,34998600
158199,34998950
838809,34988205
49591,35000000
2778138,34990690
78862,34994155
461933,34998040
279670,34991250
683117,34999440
46001,34989500
105145,34986000
464885,34988660
5080414,34999650
2493336,34999650
448551,34996780
887164,34990200
640063,34993840
59456,34993490
626539,34977740
680886,34999440
1684908,34984950
223752,34990655
2993782,34997760
299951,34974345
545627,34993140
624171,34998040
1086288,34994085
600210,34977250
1385857,34997760
528887,34999860
383455,34997200
1733048,34991250
641683,34995240
1577496,34998810
962501,34999615
12392,34988800
2046681,34979560
764414,34997760
1022711,34979000
662426,34996500
1102637,34979350
405282,34986000
332987,34999965
25118,34999965
1794174,34976725
3980148,34992300
1580096,35000000
1693163,34981100
504738,34996500
14208,34992160
648518,34993350
2276598,34974170
358257,34978860
1088880,34976130
1406247,34993630
2151643,34990130
1373793,34997935
496629,34994575
1930536,34999230
242498,34994470
139557,34988380
225738,34998040
373288,34999090
692554,34987610
3604495,34997760
585208,34997900
294679,34996500
918665,34994085
